year,month,day,hour,consumption,generation,dayOfWeek,dayOfYear,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,prev_consumption,consumption_change
-1.0,-0.8181818181818182,0.3999999999999999,-1.0,-0.8462960010246412,-1.0,0.0,-0.7142857142857142,-0.5555555555555556,-0.3939393939393939,-1.0,-0.8461538461538458,-0.75,-0.05999999999999994,-0.10526315789473689,-0.4883720930232559,-0.4736842105263159,-0.45,-0.06382978723404253,0.74,0.6666666666666665,-1.0,0.0810810810810807,-0.4285714285714286,1.0,-0.9777158774373258,-0.05555555555555558,-0.826752018569005,-0.22010842972618516
-1.0,-0.8181818181818182,0.3999999999999999,-1.0,-0.864389279954414,-1.0,0.0,-0.7142857142857142,-0.5555555555555556,-0.3939393939393939,-1.0,-0.8461538461538458,-0.75,-0.05999999999999994,-0.10526315789473689,-0.4883720930232559,-0.4736842105263159,-0.45,-0.06382978723404253,0.74,0.6666666666666665,-1.0,0.0810810810810807,-0.4285714285714286,1.0,-0.9777158774373258,-0.05555555555555558,-0.8462960010246412,-0.2191209256560669
-1.0,-0.8181818181818182,0.3999999999999999,-1.0,-0.8421608425058748,-1.0,0.0,-0.7142857142857142,-0.5555555555555556,-0.3939393939393939,-1.0,-0.8461538461538458,-0.75,-0.05999999999999994,-0.10526315789473689,-0.4883720930232559,-0.4736842105263159,-0.45,-0.06382978723404253,0.74,0.6666666666666665,-1.0,0.0810810810810807,-0.4285714285714286,1.0,-0.9777158774373258,-0.05555555555555558,-0.864389279954414,-0.1916736503666215
-1.0,-0.8181818181818182,0.3999999999999999,-1.0,-0.8545271098587721,-1.0,0.0,-0.7142857142857142,-0.5555555555555556,-0.3939393939393939,-1.0,-0.8461538461538458,-0.75,-0.05999999999999994,-0.10526315789473689,-0.4883720930232559,-0.4736842105263159,-0.45,-0.06382978723404253,0.74,0.6666666666666665,-1.0,0.0810810810810807,-0.4285714285714286,1.0,-0.9777158774373258,-0.05555555555555558,-0.8421608425058748,-0.21522250868736637
-1.0,-0.8181818181818182,0.3999999999999999,-1.0,-0.8558157528105748,-1.0,0.0,-0.7142857142857142,-0.5555555555555556,-0.3939393939393939,-1.0,-0.8461538461538458,-0.75,-0.05999999999999994,-0.10526315789473689,-0.4883720930232559,-0.4736842105263159,-0.45,-0.06382978723404253,0.74,0.6666666666666665,-1.0,0.0810810810810807,-0.4285714285714286,1.0,-0.9777158774373258,-0.05555555555555558,-0.8545271098587721,-0.20768189202221207
-1.0,-0.8181818181818182,0.46666666666666656,-1.0,-0.8654609708473939,-1.0,0.33333333333333326,-0.7087912087912087,-0.06666666666666665,-0.2121212121212121,-1.0,-0.38461538461538414,-0.25,0.10000000000000009,0.05263157894736836,-0.25581395348837216,-0.36842105263157904,-0.19999999999999996,-0.4042553191489362,1.0,0.7878787878787881,-0.59375,0.02702702702702453,-0.31428571428571433,0.33333333333333304,-0.8997214484679665,-0.44444444444444453,-0.8558157528105748,-0.2133702713234151
-1.0,-0.8181818181818182,0.46666666666666656,-1.0,-0.8694497520734605,-1.0,0.33333333333333326,-0.7087912087912087,-0.06666666666666665,-0.2121212121212121,-1.0,-0.38461538461538414,-0.25,0.10000000000000009,0.05263157894736836,-0.25581395348837216,-0.36842105263157904,-0.19999999999999996,-0.4042553191489362,1.0,0.7878787878787881,-0.59375,0.02702702702702453,-0.31428571428571433,0.33333333333333304,-0.8997214484679665,-0.44444444444444453,-0.8654609708473939,-0.2095198950932608
-1.0,-0.8181818181818182,0.46666666666666656,-1.0,-0.8475062275696403,-1.0,0.33333333333333326,-0.7087912087912087,-0.06666666666666665,-0.2121212121212121,-1.0,-0.38461538461538414,-0.25,0.10000000000000009,0.05263157894736836,-0.25581395348837216,-0.36842105263157904,-0.19999999999999996,-0.4042553191489362,1.0,0.7878787878787881,-0.59375,0.02702702702702453,-0.31428571428571433,0.33333333333333304,-0.8997214484679665,-0.44444444444444453,-0.8694497520734605,-0.19186759260741948
-1.0,-0.8181818181818182,0.46666666666666656,-1.0,-0.8590543504115554,-1.0,0.33333333333333326,-0.7087912087912087,-0.06666666666666665,-0.2121212121212121,-1.0,-0.38461538461538414,-0.25,0.10000000000000009,0.05263157894736836,-0.25581395348837216,-0.36842105263157904,-0.19999999999999996,-0.4042553191489362,1.0,0.7878787878787881,-0.59375,0.02702702702702453,-0.31428571428571433,0.33333333333333304,-0.8997214484679665,-0.44444444444444453,-0.8475062275696403,-0.21466559197755194
-1.0,-0.8181818181818182,0.46666666666666656,-1.0,-0.8521354094512681,-1.0,0.33333333333333326,-0.7087912087912087,-0.06666666666666665,-0.2121212121212121,-1.0,-0.38461538461538414,-0.25,0.10000000000000009,0.05263157894736836,-0.25581395348837216,-0.36842105263157904,-0.19999999999999996,-0.4042553191489362,1.0,0.7878787878787881,-0.59375,0.02702702702702453,-0.31428571428571433,0.33333333333333304,-0.8997214484679665,-0.44444444444444453,-0.8590543504115554,-0.20209493205794019
